x,y,z
[0.81881012 1.16621891 2.68795343],[1.02607801 1.13162299 2.76212368],[0.87547191 2.04471164 1.04173294]
[0.81991617 1.16578368 2.68794   ],[1.02706124 1.13157608 2.7628736 ],[0.87860329 2.04242791 1.04273245]
[0.82103431 1.16533688 2.68792605],[1.02804828 1.13152589 2.76362298],[0.88177459 2.04010411 1.04373212]
[0.8221648  1.16487826 2.68791156],[1.02903919 1.13147236 2.76437183],[0.88498664 2.03773939 1.04473196]
[0.8233079  1.16440758 2.68789654],[1.03003402 1.13141545 2.76512014],[0.88824026 2.03533293 1.04573197]
[0.82446385 1.16392456 2.68788098],[1.03103283 1.1313551  2.76586792],[0.89153631 2.03288388 1.04673214]
[0.82563292 1.16342898 2.68786489],[1.03203568 1.13129126 2.76661515],[0.89487564 2.03039139 1.04773247]
[0.82681536 1.16292055 2.68784826],[1.03304261 1.13122387 2.76736185],[0.89825909 2.0278546  1.04873297]
[0.82801142 1.16239905 2.68783109],[1.03405368 1.13115288 2.768108  ],[0.90168751 2.02527268 1.04973364]
[0.82922137 1.1618642  2.68781338],[1.03506894 1.13107824 2.7688536 ],[0.90516176 2.02264478 1.05073447]
[0.83044544 1.16131576 2.68779513],[1.03608845 1.13099991 2.76959866],[0.90868264 2.01997007 1.05173546]
[0.83168389 1.16075349 2.68777633],[1.03711224 1.13091784 2.77034318],[0.91225096 2.01724775 1.05273662]
[0.83293694 1.16017716 2.68775699],[1.03814036 1.13083199 2.77108714],[0.91586751 2.01447705 1.05373795]
[0.83420482 1.15958656 2.68773711],[1.03917284 1.13074233 2.77183056],[0.91953299 2.01165725 1.05473944]
[0.83548773 1.15898146 2.68771668],[1.04020972 1.13064882 2.77257342],[0.92324808 2.00878767 1.05574109]
[0.83678585 1.15836171 2.6876957 ],[1.04125102 1.13055145 2.77331572],[0.92701337 2.00586773 1.05674291]
[0.83809934 1.15772714 2.68767417],[1.04229676 1.13045019 2.77405747],[0.93082938 2.0028969  1.05774489]
[0.83942831 1.15707763 2.68765208],[1.04334693 1.13034505 2.77479867],[0.93469649 1.99987482 1.05874704]
[0.84077285 1.15641312 2.68762944],[1.04440155 1.13023604 2.7755393 ],[0.93861494 1.99680123 1.05974935]
[0.84213298 1.15573357 2.68760625],[1.04546057 1.13012318 2.77627937],[0.9425848  1.99367606 1.06075182]
[0.84350866 1.15503902 2.6875825 ],[1.04652397 1.1300065  2.77701888],[0.94660593 1.99049946 1.06175446]
[0.84489978 1.1543296  2.68755819],[1.04759168 1.12988608 2.77775783],[0.95067793 1.98727183 1.06275726]
[0.84630613 1.15360551 2.68753333],[1.04866361 1.129762   2.77849621],[0.95480007 1.98399389 1.06376023]
[0.84772737 1.15286708 2.68750789],[1.04973966 1.12963438 2.77923402],[0.95897127 1.98066673 1.06476336]
[0.84916307 1.15211476 2.6874819 ],[1.05081967 1.12950337 2.77997126],[0.96318996 1.97729191 1.06576665]
[0.85061259 1.15134918 2.68745534],[1.05190345 1.12936915 2.78070793],[0.96745407 1.97387151 1.06677011]
[0.85207513 1.15057116 2.68742821],[1.05299076 1.12923198 2.78144402],[0.97176085 1.97040828 1.06777373]
[0.85354964 1.14978173 2.68740052],[1.05408132 1.12909214 2.78217954],[0.97610681 1.96690571 1.06877751]
[0.8550348  1.14898222 2.68737225],[1.05517476 1.12894999 2.78291448],[0.98048752 1.96336822 1.06978146]
[0.85652899 1.14817426 2.68734341],[1.05627065 1.12880598 2.78364884],[0.98489751 1.95980129 1.07078557]
[0.85803018 1.14735986 2.687314  ],[1.05736847 1.12866061 2.78438262],[0.98933003 1.95621166 1.07178984]
[0.85953593 1.14654149 2.68728401],[1.0584676  1.12851452 2.78511581],[0.99377688 1.95260755 1.07279427]
[0.86104327 1.1457221  2.68725344],[1.05956731 1.12836843 2.78584842],[0.99822814 1.94899885 1.07379887]
