x,y,z
[0.7775758  2.47249366],[0.70368264 1.65347671],[0.93184731 2.52566105]
[0.77776418 2.47346631],[0.70428771 1.65396357],[0.93200695 2.52596383]
[0.77795191 2.47443958],[0.70489242 1.65445079],[0.93216599 2.52626721]
[0.77813902 2.4754135 ],[0.70549678 1.65493836],[0.93232442 2.52657119]
[0.77832548 2.47638805],[0.70610079 1.65542628],[0.93248227 2.52687577]
[0.77851131 2.47736324],[0.70670443 1.65591457],[0.93263951 2.52718095]
[0.77869651 2.47833906],[0.70730773 1.6564032 ],[0.93279617 2.52748672]
[0.77888107 2.47931551],[0.70791067 1.65689219],[0.93295222 2.52779308]
[0.77906501 2.4802926 ],[0.70851325 1.65738154],[0.93310769 2.52810004]
[0.7792483  2.48127032],[0.70911549 1.65787124],[0.93326256 2.5284076 ]
[0.77943097 2.48224868],[0.70971737 1.65836128],[0.93341684 2.52871574]
[0.77961301 2.48322766],[0.7103189  1.65885168],[0.93357053 2.52902448]
[0.77979442 2.48420728],[0.71092008 1.65934243],[0.93372363 2.5293338 ]
[0.7799752  2.48518752],[0.71152092 1.65983354],[0.93387614 2.52964372]
[0.78015535 2.48616839],[0.7121214  1.66032499],[0.93402806 2.52995422]
[0.78033487 2.48714989],[0.71272153 1.66081679],[0.9341794  2.53026532]
[0.78051377 2.48813202],[0.71332132 1.66130893],[0.93433015 2.53057699]
[0.78069204 2.48911478],[0.71392075 1.66180143],[0.93448031 2.53088926]
[0.78086969 2.49009816],[0.71451984 1.66229427],[0.9346299  2.53120211]
[0.78104671 2.49108216],[0.71511859 1.66278746],[0.93477889 2.53151554]
[0.78122311 2.49206679],[0.71571699 1.66328099],[0.93492731 2.53182956]
[0.78139889 2.49305205],[0.71631504 1.66377487],[0.93507514 2.53214415]
[0.78157404 2.49403792],[0.71691275 1.6642691 ],[0.9352224  2.53245933]
[0.78174857 2.49502442],[0.71751012 1.66476367],[0.93536907 2.53277509]
[0.78192248 2.49601154],[0.71810714 1.66525858],[0.93551517 2.53309143]
[0.78209578 2.49699928],[0.71870382 1.66575383],[0.93566069 2.53340835]
[0.78226845 2.49798764],[0.71930016 1.66624943],[0.93580563 2.53372584]
[0.7824405  2.49897662],[0.71989616 1.66674536],[0.93594999 2.53404391]
[0.78261194 2.49996621],[0.72049181 1.66724164],[0.93609378 2.53436256]
[0.78278276 2.50095643],[0.72108713 1.66773826],[0.936237   2.53468178]
[0.78295296 2.50194726],[0.72168211 1.66823522],[0.93637964 2.53500157]
[0.78312255 2.50293871],[0.72227674 1.66873252],[0.93652172 2.53532194]
[0.78329153 2.50393077],[0.72287105 1.66923015],[0.93666322 2.53564288]
[0.78345989 2.50492344],[0.72346501 1.66972812],[0.93680415 2.53596439]
[0.78362764 2.50591673],[0.72405863 1.67022643],[0.93694451 2.53628647]
[0.78379477 2.50691064],[0.72465192 1.67072508],[0.9370843  2.53660912]
[0.7839613  2.50790515],[0.72524488 1.67122406],[0.93722353 2.53693233]
[0.78412721 2.50890027],[0.7258375  1.67172338],[0.93736218 2.53725612]
[0.78429252 2.50989601],[0.72642978 1.67222303],[0.93750028 2.53758047]
[0.78445722 2.51089236],[0.72702173 1.67272302],[0.93763781 2.53790538]
[0.7846213  2.51188931],[0.72761335 1.67322334],[0.93777477 2.53823086]
[0.78478478 2.51288687],[0.72820464 1.67372399],[0.93791117 2.5385569 ]
[0.78494766 2.51388504],[0.72879559 1.67422497],[0.93804701 2.53888351]
[0.78510993 2.51488382],[0.72938621 1.67472629],[0.93818229 2.53921067]
[0.78527159 2.5158832 ],[0.7299765  1.67522794],[0.93831701 2.5395384 ]
[0.78543265 2.51688318],[0.73056647 1.67572991],[0.93845117 2.53986669]
[0.7855931  2.51788377],[0.7311561  1.67623222],[0.93858478 2.54019553]
[0.78575296 2.51888496],[0.7317454  1.67673485],[0.93871782 2.54052494]
[0.78591221 2.51988676],[0.73233438 1.67723781],[0.93885031 2.5408549 ]
[0.78607086 2.52088916],[0.73292303 1.6777411 ],[0.93898225 2.54118541]
[0.78622891 2.52189215],[0.73351135 1.67824472],[0.93911363 2.54151648]
[0.78638636 2.52289575],[0.73409934 1.67874867],[0.93924445 2.5418481 ]
[0.78654321 2.52389995],[0.73468701 1.67925294],[0.93937473 2.54218028]
[0.78669947 2.52490474],[0.73527436 1.67975753],[0.93950445 2.54251301]
[0.78685513 2.52591013],[0.73586138 1.68026245],[0.93963362 2.54284629]
[0.78701019 2.52691612],[0.73644807 1.68076769],[0.93976224 2.54318012]
[0.78716466 2.52792271],[0.73703445 1.68127326],[0.93989032 2.5435145 ]
[0.78731853 2.52892989],[0.7376205  1.68177915],[0.94001785 2.54384943]
[0.78747181 2.52993766],[0.73820623 1.68228536],[0.94014483 2.5441849 ]
[0.78762449 2.53094603],[0.73879164 1.68279189],[0.94027126 2.54452092]
[0.78777659 2.53195499],[0.73937672 1.68329874],[0.94039715 2.54485749]
[0.78792809 2.53296454],[0.73996149 1.68380592],[0.9405225 2.5451946]
[0.788079   2.53397468],[0.74054594 1.68431341],[0.9406473  2.54553225]
[0.78822933 2.53498542],[0.74113007 1.68482122],[0.94077156 2.54587045]
[0.78837906 2.53599674],[0.74171388 1.68532935],[0.94089528 2.54620918]
[0.78852821 2.53700865],[0.74229738 1.6858378 ],[0.94101846 2.54654846]
[0.78867677 2.53802115],[0.74288055 1.68634656],[0.9411411  2.54688828]
[0.78882474 2.53903423],[0.74346341 1.68685564],[0.9412632  2.54722864]
[0.78897213 2.5400479 ],[0.74404596 1.68736504],[0.94138477 2.54756953]
[0.78911893 2.54106216],[0.74462819 1.68787475],[0.9415058  2.54791096]
[0.78926515 2.542077  ],[0.74521011 1.68838477],[0.94162629 2.54825293]
[0.78941079 2.54309242],[0.74579171 1.68889511],[0.94174625 2.54859543]
[0.78955584 2.54410843],[0.746373   1.68940576],[0.94186568 2.54893846]
[0.78970032 2.54512502],[0.74695398 1.68991673],[0.94198458 2.54928203]
[0.78984421 2.54614219],[0.74753464 1.690428  ],[0.94210294 2.54962613]
[0.78998752 2.54715994],[0.748115   1.69093959],[0.94222077 2.54997076]
[0.79013026 2.54817826],[0.74869504 1.69145149],[0.94233808 2.55031592]
[0.79027241 2.54919717],[0.74927478 1.6919637 ],[0.94245485 2.55066161]
[0.79041399 2.55021665],[0.7498542  1.69247622],[0.9425711  2.55100783]
[0.790555   2.55123672],[0.75043332 1.69298904],[0.94268682 2.55135458]
[0.79069543 2.55225735],[0.75101213 1.69350218],[0.94280201 2.55170185]
[0.79083528 2.55327856],[0.75159063 1.69401562],[0.94291668 2.55204964]
